Feature,Importance
A8_1,0.24424554472465113
A8_A9_interaction,0.12469179528116975
A10,0.07578381799578596
A7_log,0.06002144846758466
A2_A7_interaction,0.05963420996853406
A3_log,0.05774735644937345
A14_log,0.05632876650353397
A14_winsorized,0.05364043179400542
A2,0.05300350414775664
A13_winsorized,0.048338022339916034
A9_1,0.035843849406690914
A6_8,0.012200915193741734
A4_2,0.010711389305817996
A1_1,0.010136641985288512
A11_1,0.00964340341347775
A5_14,0.009224258789035818
A5_11,0.009115209646722994
A12_3,0.007415986329458956
A5_4,0.006527689518129128
A6_4,0.005944218827588044
A5_8,0.005463728115784339
A12_2,0.0054299845633279985
A5_13,0.005339076073977319
A5_9,0.004889729058905211
A6_5,0.00467836086471012
A5_6,0.003924662608689774
A5_2,0.0038479172808259673
A5_7,0.0034989670718934955
A5_3,0.003295936014674968
A6_7,0.002983086918824144
A4_3,0.0021314109989652194
A5_10,0.0017374645814145534
A6_9,0.0007843712160147374
A5_5,0.0007149976656025308
A6_3,0.0005044230884926784
A5_12,0.0002997072435537881
A6_2,0.00027771654608012275
